"","Estimate","Std. Error","df","t value","Pr(>|t|)","Significant"
"(Intercept)",1.18,0.2806,75.2529,4.2057,1e-04,"***"
"PC_HR1",1.4991,0.0177,34394.595,84.5366,0,"***"
"PC_HR2",0.0084,0.0108,34485.2381,0.7835,0.4333,""
"PC_HR3",-8e-04,0.0107,34482.3349,-0.0768,0.9388,""
"PC_BP1",0.8136,0.0108,34484.1724,75.6084,0,"***"
"PC_BP2",-0.014,0.0106,34481.3403,-1.3119,0.1896,""
"sex",-0.0693,0.0665,74.6791,-1.0424,0.3006,""
"age",-0.0051,0.0038,74.2652,-1.3418,0.1838,""
"bmi",-6e-04,0.0093,74.311,-0.0605,0.9519,""
"protein_intake",0.8293,0.0787,74.3283,10.5354,0,"***"
"sleep_psqi",-0.0129,0.0059,74.2624,-2.206,0.0305,"*"
"stress_pss",-0.0218,0.0029,74.3127,-7.5145,0,"***"
"factor(group)2",-2.033,0.0313,34138.5785,-64.9705,0,"***"
"factor(group)3",-2.0206,0.0306,34467.8903,-66.068,0,"***"
"factor(group)4",-2.0523,0.0313,34138.1721,-65.5902,0,"***"
"time",0.3256,0.0044,324.4642,73.439,0,"***"
"w_PC_HR1_x_sex",-0.0201,0.0227,34296.3661,-0.8842,0.3766,""
"w_PC_HR1_x_nutrition_cat",0.0154,0.0225,33749.8935,0.6855,0.493,""
